"Name","State","Min_Value","Max_Value","Temp_change","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean","rank_temp"
"Autauga County","Alabama","69.6","94","24.4","82","0.7","68.9",2159
"Baldwin County","Alabama","74.7","93.8","19.1","129","3.4","71.3",247
"Barbour County","Alabama","70.4","94.2","23.8","111","1.2","69.2",1967
"Bibb County","Alabama","68.4","92.7","24.3","60","0.4","68",2131
"Blount County","Alabama","67.5","90.4","22.9","91","1.5","66",1659
"Bullock County","Alabama","69.6","93.7","24.1","100","1.1","68.5",2076
"Butler County","Alabama","69.2","94.3","25.1","86","0.6","68.6",2345
"Calhoun County","Alabama","66.6","91.1","24.5","64","0.4","66.2",2189
"Chambers County","Alabama","66","91.6","25.6","49","-0.1","66.1",2429
"Cherokee County","Alabama","65.5","90.3","24.8","33","-0.8","66.3",2278
"Chilton County","Alabama","68","92.5","24.5","71","0.5","67.5",2189
"Choctaw County","Alabama","70","94.7","24.7","85","0.8","69.2",2239
"Clarke County","Alabama","70.6","94.7","24.1","104","1.5","69.1",2076
"Clay County","Alabama","65.3","90.4","25.1","66","0.4","64.9",2345
"Cleburne County","Alabama","65","89.6","24.6","61","0.2","64.8",2219
"Coffee County","Alabama","70.5","94.7","24.2","107","1.2","69.3",2101
"Colbert County","Alabama","65.9","93","27.1","61","0.2","65.7",2616
"Conecuh County","Alabama","70.2","94.4","24.2","89","0.9","69.3",2101
"Coosa County","Alabama","67.1","91.7","24.6","64","0.4","66.7",2219
"Covington County","Alabama","70.6","94.7","24.1","111","1.5","69.1",2076
"Crenshaw County","Alabama","68.9","94.3","25.4","94","0.7","68.2",2398
"Cullman County","Alabama","67.8","90.2","22.4","111","2.2","65.6",1468
"Dale County","Alabama","71","94.5","23.5","103","1","70",1879
"Dallas County","Alabama","71","94.8","23.8","114","1.6","69.4",1967
"DeKalb County","Alabama","64.5","87.5","23.0","36","-0.8","65.3",1707
"Elmore County","Alabama","69","93","24","76","0.5","68.5",2036
"Escambia County","Alabama","71.4","93.9","22.5","111","1.8","69.6",1520
"Etowah County","Alabama","67.2","90.9","23.7","69","0.6","66.6",1935
"Fayette County","Alabama","67","93","26","34","-0.8","67.8",2492
"Franklin County","Alabama","65.9","91.7","25.8","57","0.1","65.8",2464
"Geneva County","Alabama","71.5","94.5","23.0","113","1.7","69.8",1707
"Greene County","Alabama","70.2","93.5","23.3","62","0.4","69.8",1807
"Hale County","Alabama","70.1","93.3","23.2","75","0.7","69.4",1772
"Henry County","Alabama","71.4","94.2","22.8","110","1.3","70.1",1636
"Houston County","Alabama","71.8","94.1","22.3","106","1.2","70.6",1423
"Jackson County","Alabama","65.3","88.7","23.4","48","-0.3","65.6",1835
"Jefferson County","Alabama","68.4","92.7","24.3","88","1","67.4",2131
"Lamar County","Alabama","67.7","93.4","25.7","47","-0.2","67.9",2449
"Lauderdale County","Alabama","65.9","92.7","26.8","82","0.8","65.1",2590
"Lawrence County","Alabama","66.3","92.5","26.2","70","0.4","65.9",2521
"Lee County","Alabama","68.6","92.5","23.9","94","1.1","67.5",2004
"Limestone County","Alabama","67.1","92.2","25.1","96","1.5","65.6",2345
"Lowndes County","Alabama","70.2","94.6","24.4","91","0.8","69.4",2159
"Macon County","Alabama","69.7","93.4","23.7","98","1.1","68.6",1935
"Madison County","Alabama","66.9","91.2","24.3","91","1.3","65.6",2131
"Marengo County","Alabama","70.9","94.2","23.3","112","1.5","69.4",1807
"Marion County","Alabama","66.6","91.7","25.1","54","0","66.6",2345
"Marshall County","Alabama","67.4","89.3","21.9","86","1","66.4",1254
"Mobile County","Alabama","74.1","95","20.9","129","3.1","71",841
"Monroe County","Alabama","70.7","94.5","23.8","103","1.5","69.2",1967
"Montgomery County","Alabama","69.6","93.7","24.1","70","0.4","69.2",2076
"Morgan County","Alabama","67.7","91.4","23.7","107","1.8","65.9",1935
"Perry County","Alabama","70.1","93.5","23.4","102","1.2","68.9",1835
"Pickens County","Alabama","69","93.7","24.7","50","-0.1","69.1",2239
"Pike County","Alabama","69.6","94.5","24.9","102","0.9","68.7",2306
"Randolph County","Alabama","65.5","90.7","25.2","66","0.4","65.1",2363
"Russell County","Alabama","70.2","93.7","23.5","113","1.5","68.7",1879
"St. Clair County","Alabama","67.1","91.8","24.7","70","0.8","66.3",2239
"Shelby County","Alabama","67.6","92.6","25.0","68","0.5","67.1",2327
"Sumter County","Alabama","70.7","94","23.3","89","0.9","69.8",1807
"Talladega County","Alabama","67","92.2","25.2","68","0.6","66.4",2363
"Tallapoosa County","Alabama","66.7","91.9","25.2","72","0.4","66.3",2363
"Tuscaloosa County","Alabama","68.6","93","24.4","43","-0.4","69",2159
"Walker County","Alabama","67.8","92.6","24.8","60","0.4","67.4",2278
"Washington County","Alabama","70.5","94.9","24.4","99","1.2","69.3",2159
"Wilcox County","Alabama","70.8","94.8","24.0","109","1.4","69.4",2040
"Winston County","Alabama","66.4","91.4","25.0","71","0.5","65.9",2327
"Apache County","Arizona","57.5","86.5","29.0","121","2.2","55.3",2794
"Cochise County","Arizona","65.5","92.6","27.1","125","2.6","62.9",2616
"Coconino County","Arizona","60.2","89","28.8","127","3.4","56.8",2777
"Gila County","Arizona","65.5","93.3","27.8","118","2.7","62.8",2687
"Graham County","Arizona","67.2","93.3","26.1","120","2.6","64.6",2508
"Greenlee County","Arizona","62.4","89.5","27.1","120","2.6","59.8",2616
"La Paz County","Arizona","81.9","107.1","25.2","130","5.1","76.8",2363
"Maricopa County","Arizona","79.8","105.4","25.6","129","5.2","74.6",2429
"Mohave County","Arizona","71.7","96.9","25.2","127","3.8","67.9",2363
"Navajo County","Arizona","59.1","89.8","30.7","114","2.1","57",2940
"Pima County","Arizona","72.4","100.2","27.8","119","2.4","70",2687
"Pinal County","Arizona","75.6","102.2","26.6","121","3","72.6",2567
"Santa Cruz County","Arizona","64.2","90.6","26.4","115","2.4","61.8",2539
"Yavapai County","Arizona","66","94","28","128","3.8","62.2",2706
"Yuma County","Arizona","80.6","108.5","27.9","124","4.2","76.4",2693
"Arkansas County","Arkansas","70.4","93","22.6","82","0.8","69.6",1563
"Ashley County","Arkansas","70.5","96.1","25.6","105","1.7","68.8",2429
"Baxter County","Arkansas","65.3","89.3","24.0","79","1","64.3",2040
"Benton County","Arkansas","67.3","90.6","23.3","96","1.7","65.6",1807
"Boone County","Arkansas","65.1","89.6","24.5","63","0.2","64.9",2189
"Bradley County","Arkansas","70.1","94.7","24.6","95","1.4","68.7",2219
"Calhoun County","Arkansas","69.6","94.1","24.5","79","0.8","68.8",2189
"Carroll County","Arkansas","65.8","89.6","23.8","80","0.7","65.1",1967
"Chicot County","Arkansas","70.8","96.2","25.4","96","1.2","69.6",2398
"Clark County","Arkansas","69.9","93.9","24.0","86","1.4","68.5",2040
"Clay County","Arkansas","67.7","90.3","22.6","87","1.1","66.6",1563
"Cleburne County","Arkansas","67.4","90.3","22.9","83","0.8","66.6",1659
"Cleveland County","Arkansas","69.8","93.2","23.4","88","1","68.8",1835
"Columbia County","Arkansas","70.7","93.8","23.1","89","1.4","69.3",1733
"Conway County","Arkansas","68.7","93.4","24.7","90","1.2","67.5",2239
"Craighead County","Arkansas","68","90.5","22.5","70","0.5","67.5",1520
"Crawford County","Arkansas","69.6","92.7","23.1","111","2.4","67.2",1733
"Crittenden County","Arkansas","70.1","92.5","22.4","75","0.5","69.6",1468
"Cross County","Arkansas","69.4","91.3","21.9","69","0.2","69.2",1254
"Dallas County","Arkansas","69.6","93.2","23.6","79","1","68.6",1908
"Desha County","Arkansas","70.3","94","23.7","87","0.9","69.4",1935
"Drew County","Arkansas","70.5","94.6","24.1","97","1.4","69.1",2076
"Faulkner County","Arkansas","68.8","92.8","24.0","83","0.9","67.9",2040
"Franklin County","Arkansas","69","91.6","22.6","97","1.9","67.1",1563
"Fulton County","Arkansas","65.4","88.5","23.1","94","1.6","63.8",1733
"Garland County","Arkansas","69.6","93.5","23.9","105","1.9","67.7",2004
"Grant County","Arkansas","69.4","93.4","24.0","77","0.7","68.7",2040
"Greene County","Arkansas","67.8","90.4","22.6","77","0.8","67",1563
"Hempstead County","Arkansas","71","93.3","22.3","103","1.8","69.2",1423
"Hot Spring County","Arkansas","70.1","94.1","24.0","101","1.7","68.4",2040
"Howard County","Arkansas","69.7","94.3","24.6","100","1.7","68",2219
"Independence County","Arkansas","67.1","89.2","22.1","79","0.6","66.5",1329
"Izard County","Arkansas","66","88.7","22.7","89","1.2","64.8",1608
"Jackson County","Arkansas","67.9","90.2","22.3","67","0.3","67.6",1423
"Jefferson County","Arkansas","69.9","93.1","23.2","84","0.7","69.2",1772
"Johnson County","Arkansas","68","90.5","22.5","91","1.4","66.6",1520
"Lafayette County","Arkansas","72.4","94","21.6","120","2.7","69.7",1132
"Lawrence County","Arkansas","67.3","89.5","22.2","73","0.7","66.6",1377
"Lee County","Arkansas","70.1","92.5","22.4","74","0.5","69.6",1468
"Lincoln County","Arkansas","70.3","93.6","23.3","90","1","69.3",1807
"Little River County","Arkansas","72.6","95.1","22.5","123","3.3","69.3",1520
"Logan County","Arkansas","69.1","93","23.9","88","1.4","67.7",2004
"Lonoke County","Arkansas","69.9","92.8","22.9","88","1","68.9",1659
"Madison County","Arkansas","66.5","88.7","22.2","99","2","64.5",1377
"Marion County","Arkansas","64.9","89.9","25.0","69","0.4","64.5",2327
"Miller County","Arkansas","73.8","94.2","20.4","126","3.6","70.2",622
"Mississippi County","Arkansas","67.7","90","22.3","38","-0.8","68.5",1423
"Monroe County","Arkansas","70.2","92.1","21.9","74","0.6","69.6",1254
"Montgomery County","Arkansas","68.2","94","25.8","86","1.3","66.9",2464
"Nevada County","Arkansas","69.9","93.1","23.2","73","0.7","69.2",1772
"Newton County","Arkansas","65","87.3","22.3","69","0.3","64.7",1423
"Ouachita County","Arkansas","69.6","93.6","24.0","66","0.3","69.3",2040
"Perry County","Arkansas","69.1","93.9","24.8","86","1","68.1",2278
"Phillips County","Arkansas","69.9","93.2","23.3","71","0.3","69.6",1807
"Pike County","Arkansas","69.1","93.9","24.8","89","1.4","67.7",2278
"Poinsett County","Arkansas","68.5","90.7","22.2","62","0.2","68.3",1377
"Polk County","Arkansas","67.6","92.8","25.2","85","1.4","66.2",2363
"Pope County","Arkansas","67.4","91.5","24.1","79","0.8","66.7",2076
"Prairie County","Arkansas","70","91.6","21.6","77","0.7","69.3",1132
"Pulaski County","Arkansas","69.5","93.3","23.8","84","0.9","68.6",1967
"Randolph County","Arkansas","66.7","90","23.3","76","0.9","65.8",1807
"St. Francis County","Arkansas","70","92","22","72","0.5","69.5",1292
"Saline County","Arkansas","69.4","93.3","23.9","87","1.2","68.2",2004
"Scott County","Arkansas","68.6","93.3","24.7","91","1.6","67",2239
"Searcy County","Arkansas","64.3","88.3","24.0","51","-0.3","64.6",2040
"Sebastian County","Arkansas","70.2","93.8","23.6","106","2.2","68",1908
"Sevier County","Arkansas","70.6","95.4","24.8","111","2.1","68.5",2278
"Sharp County","Arkansas","66.4","88.5","22.1","91","1.5","64.9",1329
"Stone County","Arkansas","65.7","88.8","23.1","75","0.5","65.2",1733
"Union County","Arkansas","70","95","25","85","0.9","69.1",2322
"Van Buren County","Arkansas","66.1","90.1","24.0","70","0.4","65.7",2040
"Washington County","Arkansas","67.8","90.6","22.8","105","2.5","65.3",1636
"White County","Arkansas","69.1","91.3","22.2","87","1.1","68",1377
"Woodruff County","Arkansas","69.2","90.8","21.6","68","0.3","68.9",1132
"Yell County","Arkansas","68.8","93.9","25.1","79","0.8","68",2345
"Alameda County","California","58.2","84.7","26.5","108","2.2","56",2552
"Alpine County","California","48.1","74.7","26.6","84","1.5","46.6",2567
"Amador County","California","59.6","90","30.4","112","2.7","56.9",2914
"Butte County","California","60.6","91.8","31.2","108","2","58.6",2978
"Calaveras County","California","59.5","90.5","31.0","105","2","57.5",2957
"Colusa County","California","61.3","93.4","32.1","119","3.1","58.2",3029
"Contra Costa County","California","58.9","87.6","28.7","114","2.6","56.3",2764
"Del Norte County","California","53.3","77.2","23.9","105","2.1","51.2",2004
"El Dorado County","California","57.3","84.9","27.6","110","2.7","54.6",2666
"Fresno County","California","58.5","88.6","30.1","116","3.5","55",2893
"Glenn County","California","61.3","91.5","30.2","110","2","59.3",2903
"Humboldt County","California","53.9","81.8","27.9","98","1.4","52.5",2693
"Imperial County","California","82.4","108.7","26.3","128","5.1","77.3",2533
"Inyo County","California","68.4","95.4","27.0","116","3.8","64.6",2611
"Kern County","California","65.9","94.6","28.7","118","3.2","62.7",2764
"Kings County","California","66","97.7","31.7","114","3.7","62.3",3011
"Lake County","California","58.1","87.6","29.5","107","2.3","55.8",2830
"Lassen County","California","48.6","82.8","34.2","92","2","46.6",3091
"Los Angeles County","California","63.8","90.2","26.4","113","3.3","60.5",2539
"Madera County","California","58.6","89.7","31.1","115","3.3","55.3",2967
"Marin County","California","53.3","74.3","21.0","110","2.3","51",895
"Mariposa County","California","57.5","89.3","31.8","105","2.6","54.9",3017
"Mendocino County","California","54.2","83","28.8","105","1.9","52.4",2777
"Merced County","California","63.2","94","30.8","117","3","60.2",2949
"Modoc County","California","49","83","34","112","2.7","46.3",3088
"Mono County","California","46.4","79.6","33.2","83","1.6","44.8",3074
"Monterey County","California","55.1","88","32.9","119","3.8","51.3",3068
"Napa County","California","57","89.1","32.1","113","2.7","54.3",3029
"Nevada County","California","54.1","83.9","29.8","95","1.8","52.3",2860
"Orange County","California","63.9","86.5","22.6","110","2.7","61.2",1563
"Placer County","California","55.6","84.8","29.2","103","2.1","53.5",2810
"Plumas County","California","49.6","81","31.4","112","3.1","46.5",2990
"Riverside County","California","74.2","102.1","27.9","123","3.6","70.6",2693
"Sacramento County","California","61.1","93.8","32.7","121","3.3","57.8",3057
"San Benito County","California","59.7","89.6","29.9","123","4.1","55.6",2867
"San Bernardino County","California","74.4","100.7","26.3","118","3.4","71",2533
"San Diego County","California","63.2","92.8","29.6","102","2.3","60.9",2840
"San Francisco County","California","54.9","72.2","17.3","106","2.1","52.8",104
"San Joaquin County","California","60.9","93.7","32.8","119","2.8","58.1",3061
"San Luis Obispo County","California","57.1","89.9","32.8","109","2.6","54.5",3061
"San Mateo County","California","54.4","75.2","20.8","115","3.2","51.2",801
"Santa Barbara County","California","55.6","84.6","29.0","94","1.4","54.2",2794
"Santa Clara County","California","57.1","85.5","28.4","101","2.4","54.7",2732
"Santa Cruz County","California","53.6","80.6","27.0","111","2.7","50.9",2611
"Shasta County","California","56.6","88.6","32.0","101","1.7","54.9",3025
"Sierra County","California","48.7","80.1","31.4","100","2.2","46.5",2990
"Siskiyou County","California","51.6","81.8","30.2","104","2","49.6",2903
"Solano County","California","58.3","90.3","32.0","115","2.5","55.8",3025
"Sonoma County","California","53.6","81.5","27.9","111","2.1","51.5",2693
"Stanislaus County","California","62.2","93","30.8","120","3.3","58.9",2949
"Sutter County","California","62.3","95.4","33.1","121","3.3","59",3071
"Tehama County","California","60.4","90.3","29.9","89","0.9","59.5",2867
"Trinity County","California","54","86.5","32.5","113","2.3","51.7",3048
"Tulare County","California","58.3","85.8","27.5","110","3.2","55.1",2655
"Tuolumne County","California","52.4","82.5","30.1","86","1.2","51.2",2893
"Ventura County","California","57.7","86.3","28.6","111","3.3","54.4",2754
"Yolo County","California","59.6","94","34.4","110","2.4","57.2",3095
"Yuba County","California","61.7","92.4","30.7","113","2.6","59.1",2940
"Adams County","Colorado","58.2","89.9","31.7","128","3.3","54.9",3011
"Alamosa County","Colorado","49.2","81.1","31.9","129","3.1","46.1",3019
"Arapahoe County","Colorado","58.3","88.7","30.4","129","3.7","54.6",2914
"Archuleta County","Colorado","49.6","79.1","29.5","114","2.7","46.9",2830
"Baca County","Colorado","60.2","92.8","32.6","68","0.1","60.1",3052
"Bent County","Colorado","61.5","93.8","32.3","105","1.6","59.9",3038
"Boulder County","Colorado","51","80.3","29.3","116","2","49",2819
"Broomfield County","Colorado","57.7","89.2","31.5","121","2.6","55.1",3000
"Chaffee County","Colorado","43.9","71.5","27.6","104","1.6","42.3",2666
"Cheyenne County","Colorado","60","90.5","30.5","99","1","59",2923
"Clear Creek County","Colorado","44.2","70.2","26.0","112","2.1","42.1",2494
"Conejos County","Colorado","47.1","74.8","27.7","120","2.3","44.8",2675
"Costilla County","Colorado","47.1","76.6","29.5","114","1.9","45.2",2830
"Crowley County","Colorado","60.1","92.9","32.8","127","3.1","57",3061
"Custer County","Colorado","48","76.3","28.3","128","3.4","44.6",2725
"Delta County","Colorado","54.3","81.7","27.4","112","2.5","51.8",2645
"Denver County","Colorado","59.1","89.6","30.5","129","3.4","55.7",2923
"Dolores County","Colorado","48.9","77.6","28.7","101","2.3","46.6",2764
"Douglas County","Colorado","55.5","83.2","27.7","130","3.5","52",2675
"Eagle County","Colorado","46","73.9","27.9","111","1.9","44.1",2693
"Elbert County","Colorado","56.8","86.2","29.4","131","4.2","52.6",2823
"El Paso County","Colorado","56.8","82.6","25.8","131","3.9","52.9",2464
"Fremont County","Colorado","52.4","81.2","28.8","129","3.3","49.1",2777
"Garfield County","Colorado","52.3","77.7","25.4","114","2.7","49.6",2398
"Gilpin County","Colorado","46","72.4","26.4","107","1.9","44.1",2539
"Grand County","Colorado","43.7","72.6","28.9","116","2.4","41.3",2785
"Gunnison County","Colorado","45.7","72.4","26.7","115","2.6","43.1",2581
"Hinsdale County","Colorado","42.7","66.7","24.0","114","2.8","39.9",2040
"Huerfano County","Colorado","53.5","83.5","30.0","129","3.5","50",2883
"Jackson County","Colorado","41.5","73.4","31.9","94","1.6","39.9",3019
"Jefferson County","Colorado","53.7","81.8","28.1","131","3.2","50.5",2712
"Kiowa County","Colorado","60.8","91.8","31.0","103","1.1","59.7",2957
"Kit Carson County","Colorado","60","89.1","29.1","114","1.7","58.3",2802
"Lake County","Colorado","40.5","68.3","27.8","101","1.3","39.2",2687
"La Plata County","Colorado","51.7","79.6","27.9","120","3.3","48.4",2693
"Larimer County","Colorado","49.1","77.8","28.7","120","2.9","46.2",2764
"Las Animas County","Colorado","57.5","88.8","31.3","120","2.1","55.4",2984
"Lincoln County","Colorado","58.2","89.4","31.2","127","3.1","55.1",2978
"Logan County","Colorado","58.4","87","28.6","103","1.6","56.8",2754
"Mesa County","Colorado","56.7","83.1","26.4","122","3.6","53.1",2539
"Mineral County","Colorado","42.7","68.6","25.9","107","2","40.7",2480
"Moffat County","Colorado","52.3","83","30.7","109","2.6","49.7",2940
"Montezuma County","Colorado","56.6","84.7","28.1","124","3.8","52.8",2712
"Montrose County","Colorado","55.2","83.6","28.4","119","3.8","51.4",2732
"Morgan County","Colorado","58","90","32","120","2.9","55.1",3024
"Otero County","Colorado","61.4","93.7","32.3","125","2.7","58.7",3038
"Ouray County","Colorado","49.4","76.6","27.2","130","4.8","44.6",2631
"Park County","Colorado","44","73.2","29.2","113","2.1","41.9",2810
"Phillips County","Colorado","60","86","26","122","2.7","57.3",2492
"Pitkin County","Colorado","44.4","70.1","25.7","95","1.2","43.2",2449
"Prowers County","Colorado","61.5","92.7","31.2","79","0.3","61.2",2978
"Pueblo County","Colorado","60.9","90.9","30.0","131","4.3","56.6",2883
"Rio Blanco County","Colorado","52.7","81","28.3","114","2.9","49.8",2725
"Rio Grande County","Colorado","46.8","75.8","29.0","129","3.6","43.2",2794
"Routt County","Colorado","46.8","76.3","29.5","107","2","44.8",2830
"Saguache County","Colorado","45.6","75.1","29.5","112","2.1","43.5",2830
"San Juan County","Colorado","41.2","64.3","23.1","100","2.5","38.7",1733
"San Miguel County","Colorado","51.5","79.6","28.1","120","3.6","47.9",2712
"Sedgwick County","Colorado","60.5","85.2","24.7","122","2.9","57.6",2239
"Summit County","Colorado","41.9","69.6","27.7","103","1.7","40.2",2675
"Teller County","Colorado","47.4","73.9","26.5","131","3.7","43.7",2552
"Washington County","Colorado","58.5","87.6","29.1","116","2.3","56.2",2802
"Weld County","Colorado","56.4","88.7","32.3","122","3","53.4",3038
"Yuma County","Colorado","60.6","87.5","26.9","119","2.6","58",2599
"Fairfield County","Connecticut","62.4","81.4","19.0","111","3","59.4",228
"Hartford County","Connecticut","60.3","80.7","20.4","100","2.2","58.1",622
"Litchfield County","Connecticut","57.9","77.8","19.9","102","2.4","55.5",463
"Middlesex County","Connecticut","60.8","80.4","19.6","93","1.9","58.9",357
"New Haven County","Connecticut","61","80.6","19.6","95","1.9","59.1",357
"New London County","Connecticut","60.9","80","19.1","93","2.1","58.8",247
"Tolland County","Connecticut","58.9","79.6","20.7","94","1.9","57",753
"Windham County","Connecticut","59.1","79.1","20.0","90","1.6","57.5",488
"Kent County","Delaware","65.3","85.3","20.0","95","2","63.4",488
"New Castle County","Delaware","64.8","83.9","19.1","90","1.6","63.2",247
"Sussex County","Delaware","65.1","84.9","19.8","76","0.8","64.3",422
"Alachua County","Florida","73.6","92.7","19.1","126","3.1","70.5",247
"Baker County","Florida","73","92.8","19.8","128","3.1","69.9",422
"Bay County","Florida","73.9","93.5","19.6","114","1.7","72.2",357
"Bradford County","Florida","73.3","92.7","19.4","127","3.1","70.2",310
"Brevard County","Florida","76.2","90","13.8","128","3.3","72.9",6
"Broward County","Florida","76.5","92.3","15.8","130","3.6","72.9",33
"Calhoun County","Florida","72.3","94","21.7","115","1.7","70.6",1180
"Charlotte County","Florida","76.5","91.8","15.3","131","4.3","72.2",18
"Citrus County","Florida","75.5","91.1","15.6","130","4.1","71.4",26
"Clay County","Florida","74.6","92.1","17.5","130","3.8","70.8",114
"Collier County","Florida","77.8","93.1","15.3","131","4.6","73.2",18
"Columbia County","Florida","72.8","93.4","20.6","127","2.9","69.9",707
"DeSoto County","Florida","75.2","91.4","16.2","131","4.5","70.7",47
"Dixie County","Florida","74.9","92.6","17.7","128","3.9","71",119
"Duval County","Florida","75.4","91.8","16.4","130","3.9","71.5",59
"Escambia County","Florida","74.3","93.7","19.4","127","2.9","71.4",310
"Flagler County","Florida","75.6","91.3","15.7","129","4.1","71.5",30
"Franklin County","Florida","74.5","92.8","18.3","124","2.6","71.9",154
"Gadsden County","Florida","72.5","93.9","21.4","126","2.9","69.6",1069
"Gilchrist County","Florida","73.7","93.1","19.4","126","3.3","70.4",310
"Glades County","Florida","75.7","91.4","15.7","131","4.2","71.5",30
"Gulf County","Florida","73.9","92.9","19.0","124","2.4","71.5",228
"Hamilton County","Florida","72.8","93.2","20.4","130","3.3","69.5",622
"Hardee County","Florida","74.8","91.5","16.7","131","4.2","70.6",69
"Hendry County","Florida","76.2","92.3","16.1","131","4.1","72.1",43
"Hernando County","Florida","75.5","91.5","16.0","130","4.2","71.3",40
"Highlands County","Florida","75.2","91.4","16.2","130","4.5","70.7",47
"Hillsborough County","Florida","76.6","91.6","15.0","130","4.3","72.3",15
"Holmes County","Florida","71.6","94.5","22.9","114","1.7","70",1659
"Indian River County","Florida","75","90.6","15.6","127","3.1","71.9",26
"Jackson County","Florida","72.2","94.1","21.9","109","1.3","70.9",1254
"Jefferson County","Florida","73.4","93.3","19.9","129","3.3","70.1",463
"Lafayette County","Florida","73.5","93.2","19.7","128","3.4","70.2",381
"Lake County","Florida","75.2","91.8","16.6","130","4","71.2",67
"Lee County","Florida","77.2","92.4","15.2","131","4","73.2",17
"Leon County","Florida","73.4","94.1","20.7","129","3.5","69.9",753
"Levy County","Florida","75.2","92","16.8","127","4.1","71.1",77
"Liberty County","Florida","72.8","93.9","21.1","123","2.5","70.3",933
"Madison County","Florida","73","92.8","19.8","128","3.4","69.6",422
"Manatee County","Florida","75.9","91.2","15.3","131","4.3","71.6",18
"Marion County","Florida","74.8","91.5","16.7","130","4.1","70.7",69
"Martin County","Florida","76","91.5","15.5","127","3.8","72.2",24
"Miami-Dade County","Florida","77.6","92.4","14.8","130","4.1","73.5",11
"Monroe County","Florida","79","92.4","13.4","130","4.3","74.7",2
"Nassau County","Florida","74.6","91.7","17.1","130","3.8","70.8",95
"Okaloosa County","Florida","73.1","95.2","22.1","120","2.6","70.5",1329
"Okeechobee County","Florida","75.2","91.3","16.1","130","3.8","71.4",43
"Orange County","Florida","75.8","92.1","16.3","130","3.8","72",53
"Osceola County","Florida","75.5","91.8","16.3","130","3.8","71.7",53
"Palm Beach County","Florida","75.6","92","16.4","128","3.4","72.2",59
"Pasco County","Florida","75.9","91.7","15.8","130","4.3","71.6",33
"Pinellas County","Florida","78.8","91.3","12.5","131","4.3","74.5",1
"Polk County","Florida","75.4","92.1","16.7","130","4.2","71.2",69
"Putnam County","Florida","75.4","91.6","16.2","130","4.4","71",47
"St. Johns County","Florida","75.9","91.2","15.3","130","4.2","71.7",18
"St. Lucie County","Florida","75.5","91.1","15.6","128","3.3","72.2",26
"Santa Rosa County","Florida","73.4","94.3","20.9","120","2.3","71.1",841
"Sarasota County","Florida","76.7","91.1","14.4","131","4.7","72",10
"Seminole County","Florida","75.7","91.9","16.2","130","3.6","72.1",47
"Sumter County","Florida","74.9","91.5","16.6","130","4","70.9",67
"Suwannee County","Florida","73.1","93.3","20.2","128","3.1","70",555
"Taylor County","Florida","74.3","93.3","19.0","127","3.5","70.8",228
"Union County","Florida","72.8","93.3","20.5","126","2.6","70.2",666
"Volusia County","Florida","75.5","91.5","16.0","129","3.7","71.8",40
"Wakulla County","Florida","74.1","94.1","20.0","128","3.3","70.8",488
"Walton County","Florida","72.6","94.8","22.2","116","2.5","70.1",1377
"Washington County","Florida","71.8","94.3","22.5","105","1.2","70.6",1520
"Appling County","Georgia","71.2","92.1","20.9","110","1.8","69.4",841
"Atkinson County","Georgia","72.4","92.5","20.1","125","3.2","69.2",518
"Bacon County","Georgia","72","92.4","20.4","119","2.8","69.2",622
"Baker County","Georgia","71.7","92.6","20.9","115","1.6","70.1",841
"Baldwin County","Georgia","69","92","23","74","0.5","68.5",1701
"Banks County","Georgia","68","90.7","22.7","87","0.7","67.3",1608
"Barrow County","Georgia","68.3","90.9","22.6","89","1","67.3",1563
"Bartow County","Georgia","64.9","90.6","25.7","18","-1.4","66.3",2449
"Ben Hill County","Georgia","69.9","91.7","21.8","73","0.4","69.5",1221
"Berrien County","Georgia","71.4","91.6","20.2","120","2.2","69.2",555
"Bibb County","Georgia","68.6","92","23.4","71","0.4","68.2",1835
"Bleckley County","Georgia","68.4","91.8","23.4","13","-1.1","69.5",1835
"Brantley County","Georgia","72.4","92.2","19.8","125","3.3","69.1",422
"Brooks County","Georgia","71.4","91.4","20.0","116","2.6","68.8",488
"Bryan County","Georgia","72.9","91.5","18.6","116","2.1","70.8",184
"Bulloch County","Georgia","71.8","92","20.2","123","2.5","69.3",555
"Burke County","Georgia","70","90.2","20.2","102","1.5","68.5",555
"Butts County","Georgia","68.4","92.3","23.9","97","1.3","67.1",2004
"Calhoun County","Georgia","71.5","92.9","21.4","112","1.8","69.7",1069
"Camden County","Georgia","74.1","91.4","17.3","129","3","71.1",104
"Candler County","Georgia","71.3","91.9","20.6","114","2.1","69.2",707
"Carroll County","Georgia","66","90.5","24.5","80","1","65",2189
"Catoosa County","Georgia","66.4","90.9","24.5","69","0.4","66",2189
"Charlton County","Georgia","73.3","92.6","19.3","129","3.9","69.4",285
"Chatham County","Georgia","73.7","90.2","16.5","118","2.2","71.5",62
"Chattahoochee County","Georgia","70.5","93.4","22.9","118","1.9","68.6",1659
"Chattooga County","Georgia","64.1","89.5","25.4","16","-1.9","66",2398
"Cherokee County","Georgia","65.6","89.4","23.8","39","-0.5","66.1",1967
"Clarke County","Georgia","68.6","90.8","22.2","88","1","67.6",1377
"Clay County","Georgia","71.5","93.6","22.1","118","1.8","69.7",1329
"Clayton County","Georgia","68.7","92","23.3","90","1","67.7",1807
"Clinch County","Georgia","72.8","93.3","20.5","127","3.9","68.9",666
"Cobb County","Georgia","66.9","90.8","23.9","56","0.1","66.8",2004
